feature,mean_absolute_shap
european_aqi,7.285886420981703
month_cos,4.172108122835304
pressure_msl,3.873279860180032
city_Faisalabad,1.7652754485988869
pm2_5,1.5834877547137498
city_Lahore,1.1430446830177388
city_Multan,1.0245512710746354
city_Hyderabad,0.9185831036201771
city_Gujranwala,0.8312741084910875
city_Sialkot,0.7195736687844155
ozone,0.7131775388460556
month_sin,0.64432061674797
city_Quetta,0.6341906264383143
city_Karachi,0.5859293430456475
sulphur_dioxide,0.5718324863704434
weekday_Monday,0.40421671058854797
carbon_monoxide,0.3244904022439361
weekday_Sunday,0.1968287123844213
temperature_2m,0.17944535409568232
aqi_change_rate,0.17392521673267236
relative_humidity_2m,0.166133305067951
nitrogen_dioxide,0.16520201348975555
weekday_Wednesday,0.12350200774945476
weekday_Saturday,0.08984590732801244
wind_speed_10m,0.07440685491542924
city_Peshawar,0.06745912558942503
city_Sukkur,0.06376270537702934
city_Islamabad,0.049481325080606604
city_Rawalpindi,0.044501989053369974
weekday_Friday,0.03160115191431459
hour_sin,0.024739910529826194
weekday_Thursday,0.015686656848199643
pm10,0.006008566795910563
weekday_Tuesday,0.002877206487774174
hour_cos,1.5495027341673962e-05
