feature,mean_absolute_shap
european_aqi,8.432124160065904
pm2_5,3.682701423005035
ozone,2.050396362644306
pm10,1.993661375963032
month_cos,1.1829160058248478
aqi_change_rate,0.9658201338083947
pressure_msl,0.8150860017868616
wind_speed_10m,0.6992868230657182
sulphur_dioxide,0.6672340495896552
city_Faisalabad,0.6522393975249459
hour_cos,0.5757887782768905
city_Hyderabad,0.41933631300508134
carbon_monoxide,0.4014461029305076
city_Multan,0.36418973986134767
month_sin,0.33201759628887795
city_Karachi,0.32813593862675233
weekday_Monday,0.2899565710452592
nitrogen_dioxide,0.26310755463186974
city_Quetta,0.2592718268590728
city_Lahore,0.22235297112276609
weekday_Tuesday,0.17267992393901674
city_Gujranwala,0.15473305272123183
city_Sialkot,0.14288473746261587
temperature_2m,0.07493753672926605
weekday_Sunday,0.0689597778664492
hour_sin,0.06882602573495425
weekday_Thursday,0.04090498237443095
relative_humidity_2m,0.031198619626261016
weekday_Friday,0.0
weekday_Saturday,0.0
weekday_Wednesday,0.0
city_Islamabad,0.0
city_Peshawar,0.0
city_Rawalpindi,0.0
city_Sukkur,0.0
