feature,mean_absolute_shap
european_aqi,8.119218136799768
month_cos,3.023796808325899
pressure_msl,2.6458352669174743
pm2_5,1.681095181071555
city_Faisalabad,1.2488393034854184
ozone,1.0443355772792704
city_Multan,0.7937967440364485
city_Lahore,0.7832826131487838
city_Hyderabad,0.6467417681267497
city_Gujranwala,0.5639194933422046
city_Sialkot,0.5111315136488959
weekday_Monday,0.4859447534402804
sulphur_dioxide,0.422826844694155
city_Quetta,0.41613432413344414
month_sin,0.402355228049771
city_Karachi,0.3990116058321023
aqi_change_rate,0.3190436328901633
wind_speed_10m,0.2991195448105287
relative_humidity_2m,0.24392150533615997
pm10,0.24280276912182233
weekday_Thursday,0.18931116861654484
carbon_monoxide,0.1825996034030728
nitrogen_dioxide,0.17746375770907463
weekday_Tuesday,0.11077029353879114
temperature_2m,0.10423911339355749
weekday_Sunday,0.04980141384740838
city_Peshawar,0.040999808611446024
city_Sukkur,0.03479465321167618
weekday_Saturday,0.009147634251881974
weekday_Friday,0.0008579727427272319
hour_cos,0.0001297656560563795
hour_sin,0.0
weekday_Wednesday,0.0
city_Islamabad,0.0
city_Rawalpindi,0.0
